id,race,age,gender,hand,country,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,C_1,C_10,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,E_1,E_10,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,N_1,N_10,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,O_1,O_10,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9
4111,3,32,1,1,RO,2,5,1,1,5,1,4,1,5,5,5,3,4,5,2,2,5,1,3,2,3,1,1,5,1,5,1,5,2,5,2,2,3,3,3,1,1,1,1,1,5,5,1,5,1,4,5,5,4,4
4112,3,16,2,1,GB,1,5,5,3,5,1,1,1,5,5,3,3,4,4,5,1,4,5,5,3,1,5,2,3,4,4,2,1,4,4,4,5,3,5,1,5,5,5,5,5,1,1,4,1,3,1,5,3,1,5
4113,3,57,2,1,US,1,4,4,2,5,4,4,2,5,4,5,5,1,4,1,5,1,5,1,5,2,3,5,3,4,4,5,3,5,5,1,1,4,3,5,1,1,1,1,1,5,4,2,4,3,4,2,4,4,5
4114,11,45,2,1,PH,5,1,5,1,3,5,1,1,1,5,5,1,1,1,1,5,1,5,5,2,4,1,1,5,1,5,1,5,1,5,1,5,1,5,5,1,5,2,5,5,5,5,1,5,1,5,1,5,1,5
4115,13,20,2,1,IN,3,3,4,4,3,3,2,2,3,4,3,4,4,4,3,2,3,2,2,3,2,3,4,4,3,4,3,4,3,4,2,1,4,3,4,3,4,3,2,3,4,5,2,4,3,5,5,3,4,4
4116,13,22,2,1,IN,4,5,4,3,4,1,5,1,5,5,3,3,1,3,2,3,3,3,1,2,5,2,1,5,1,5,2,5,3,3,4,3,2,4,4,3,4,4,3,3,4,4,3,3,2,4,2,5,2,4
4117,3,33,2,1,US,1,3,3,3,5,3,4,3,3,5,4,5,3,5,3,3,2,5,2,4,2,5,3,2,4,2,4,2,5,1,5,4,2,5,2,4,4,5,5,5,4,5,1,5,2,4,2,5,3,5
4118,1,31,2,1,US,1,4,5,1,4,1,5,1,5,5,3,3,1,5,1,1,1,2,1,1,4,2,2,5,1,5,1,3,3,4,1,1,4,1,5,1,4,3,3,4,3,5,1,3,1,5,1,5,1,5
4119,3,41,2,1,US,1,5,2,1,5,3,5,3,5,5,4,1,5,1,1,1,3,1,1,1,2,1,5,1,5,5,5,1,5,1,1,3,5,4,1,1,1,1,1,1,1,5,3,5,5,4,1,5,1,5
4120,13,28,2,1,LK,2,5,3,2,4,4,2,3,4,5,3,4,2,3,3,3,4,2,2,3,4,2,4,4,2,4,4,3,4,5,3,2,4,3,3,3,3,3,3,2,2,5,1,4,1,5,1,3,3,2
4121,12,13,2,1,GB,1,4,5,3,5,1,3,5,5,5,5,5,3,5,2,3,1,5,3,3,3,3,3,5,2,5,1,3,5,5,1,1,5,2,3,1,1,1,1,1,5,5,1,5,1,3,1,5,5,5
4122,3,19,1,1,GB,3,4,3,2,3,1,4,2,3,3,4,3,1,3,4,4,4,4,1,4,3,2,5,3,5,4,1,4,5,3,5,3,2,5,3,5,2,4,2,4,4,3,2,3,3,3,3,5,4,4
4123,4,17,1,1,IN,5,5,5,3,5,5,5,2,5,5,5,5,2,5,1,5,1,4,3,3,5,3,1,5,4,5,1,4,1,5,5,3,5,3,4,2,4,2,2,5,5,5,1,5,2,5,1,5,2,5
4124,3,14,2,1,AU,1,3,4,5,5,1,5,1,5,5,1,3,5,3,5,3,5,3,1,3,1,5,3,1,5,3,4,1,5,1,5,5,5,5,3,1,5,5,5,5,4,5,3,5,3,5,5,3,3,5
4125,3,29,2,1,DE,1,4,4,1,5,2,3,2,4,5,4,4,3,5,1,3,3,4,2,2,2,4,3,4,4,3,3,3,4,2,3,2,4,3,4,2,3,3,2,1,3,5,2,4,2,5,2,4,2,5
4126,4,24,1,2,IN,2,5,5,3,3,3,1,3,3,3,3,4,5,3,5,3,3,3,1,3,3,1,1,5,3,5,1,5,4,3,5,4,5,1,2,2,1,5,5,1,1,5,5,3,3,3,2,3,3,3
4127,3,21,2,2,AU,2,3,4,1,4,2,5,2,4,4,5,4,3,5,3,3,2,5,2,4,1,4,4,3,4,4,3,2,4,2,5,4,2,5,2,4,4,2,3,5,4,2,4,4,4,2,2,4,4,3
4128,3,16,2,1,CA,1,4,5,1,5,1,5,2,4,5,3,4,2,4,2,4,3,3,2,3,4,3,2,4,2,4,2,4,3,4,5,3,3,4,3,4,5,3,2,2,5,5,1,5,2,5,1,5,5,4
4129,3,28,2,1,GB,1,4,2,3,5,2,5,2,4,5,3,4,4,4,2,3,3,4,2,4,3,3,2,4,3,5,3,3,3,3,3,3,3,4,3,3,2,3,2,3,4,4,2,4,2,4,1,5,4,4
4130,11,26,2,1,JP,2,5,5,1,5,1,5,3,5,5,2,5,5,5,1,5,5,4,1,3,2,5,5,2,5,3,5,2,4,2,4,4,3,5,3,5,3,3,3,3,5,4,5,5,1,4,1,3,2,4
4131,11,13,2,2,GB,4,4,2,4,2,5,2,4,1,3,4,5,3,5,2,3,3,5,3,4,3,5,5,2,4,2,4,3,4,3,3,2,4,4,2,3,3,4,4,5,3,3,5,5,3,4,1,4,4,5
4132,11,13,2,1,PH,1,4,4,5,3,3,3,2,3,3,4,3,2,3,4,1,4,3,3,1,3,3,2,5,2,4,2,3,3,4,3,5,3,4,1,5,5,5,5,5,5,3,1,4,1,3,1,4,5,3
4133,13,35,2,1,CA,1,5,5,1,5,3,5,1,3,4,4,3,1,4,1,3,1,4,1,4,1,4,5,5,5,3,2,2,5,1,3,2,5,5,2,4,2,2,2,2,5,2,2,4,1,3,2,5,5,5
4134,3,47,1,1,US,1,4,4,2,4,1,4,2,5,4,4,4,3,3,2,3,3,4,2,3,4,4,2,4,3,4,3,3,3,3,3,2,4,4,4,4,3,3,2,4,4,5,1,4,1,5,1,5,4,3
4135,6,17,2,1,TN,3,3,1,2,2,5,3,5,2,2,3,4,2,4,3,3,3,3,3,3,2,5,5,1,4,1,5,1,5,1,4,5,4,4,2,5,5,4,4,5,4,4,2,4,3,4,2,3,4,4
4136,3,21,2,1,GB,1,5,5,1,5,1,5,1,5,5,2,5,5,4,4,2,5,2,2,2,1,2,1,5,4,5,2,4,4,2,4,4,2,4,2,5,4,4,4,4,4,4,2,5,3,4,1,4,3,5
4137,12,23,1,1,US,3,4,3,3,3,3,2,4,4,3,3,4,2,3,2,2,3,3,3,2,1,4,3,3,5,3,3,1,4,2,2,1,4,1,5,2,3,1,1,4,4,5,1,5,1,5,1,5,1,5
4138,3,19,1,1,GB,4,3,4,3,4,2,2,2,2,4,3,4,2,4,2,1,3,3,4,1,2,3,3,5,2,5,2,3,3,3,1,1,5,2,5,1,1,1,1,3,5,3,1,5,2,3,1,5,5,5
4139,4,25,2,1,IN,4,4,2,1,5,2,5,3,4,5,3,3,2,4,2,3,1,5,3,5,2,5,2,2,3,1,2,1,2,4,4,4,4,4,4,4,5,5,5,5,2,4,3,3,2,3,1,4,3,5
4140,3,65,1,1,GB,2,3,3,3,4,3,3,3,3,4,3,3,1,4,4,1,2,5,5,2,1,5,5,2,3,3,3,2,5,1,5,5,2,5,1,5,4,3,3,4,2,3,4,3,3,3,4,3,3,5
4141,13,22,1,1,US,5,2,4,4,4,3,3,3,4,5,3,3,2,5,2,3,1,4,5,2,2,3,5,2,4,4,3,2,3,3,3,4,4,4,3,4,4,4,2,3,2,4,3,4,3,2,2,4,3,5
4142,4,21,1,1,PK,1,5,4,1,4,4,4,2,4,5,4,4,1,4,2,4,2,4,4,2,5,4,4,4,3,5,2,2,2,5,2,4,4,4,2,2,2,4,5,4,3,5,1,4,2,4,2,4,4,2
4143,13,14,1,1,IN,4,3,5,2,3,2,1,1,2,3,2,3,5,2,4,1,5,2,4,2,1,1,5,2,3,1,3,1,2,3,5,3,4,4,3,4,4,5,5,4,2,4,1,4,1,4,1,2,3,5
4144,4,22,2,1,IN,4,3,4,1,5,3,5,3,4,4,5,5,1,5,1,3,4,5,1,4,5,3,1,4,4,4,1,3,4,5,5,3,3,4,3,4,3,4,3,3,3,4,1,4,1,4,1,5,1,5
4145,3,45,1,1,US,1,4,3,1,5,2,5,2,5,4,4,2,2,2,2,2,4,4,2,4,1,4,3,3,4,2,2,1,2,1,3,2,3,4,3,2,2,2,2,3,5,4,2,4,2,4,2,4,4,4
4146,3,29,1,1,US,4,5,3,5,3,2,3,3,3,3,3,4,4,3,2,1,2,1,2,2,2,4,2,2,3,3,2,3,3,3,3,2,4,3,2,1,1,4,2,4,5,5,2,4,1,4,1,4,5,5
4147,13,22,1,1,US,5,3,4,4,5,2,2,3,5,5,4,2,1,5,4,2,1,4,4,2,3,3,4,2,3,4,3,2,5,3,3,4,3,3,4,3,3,3,3,4,3,4,2,4,1,4,2,4,4,5
4148,13,21,2,1,PK,3,3,3,1,5,2,5,2,1,5,3,3,1,4,4,3,5,3,5,1,1,5,3,3,5,1,3,1,4,1,5,3,2,4,3,5,5,4,5,5,3,3,3,3,3,4,4,3,4,3
4149,3,48,2,1,CA,1,3,4,3,4,1,4,1,4,4,1,1,5,1,3,1,5,2,4,2,2,4,3,3,2,4,3,2,4,2,2,2,4,2,2,3,3,3,2,3,3,4,1,2,2,3,4,3,2,4
4150,3,21,1,3,CA,1,4,1,5,1,1,1,5,2,1,4,3,2,5,3,1,4,4,4,3,3,3,2,4,3,4,3,4,3,4,1,1,5,1,5,1,1,1,1,2,4,5,2,5,3,5,1,5,5,1
4151,1,40,2,2,US,1,5,4,1,5,2,4,1,5,5,4,4,2,5,5,5,2,4,1,4,4,4,3,5,3,5,2,5,4,4,3,2,4,3,4,2,1,1,1,1,4,5,1,4,1,4,1,5,3,5
4152,13,45,1,1,US,4,3,4,2,4,3,4,2,4,4,4,4,3,4,2,3,3,3,2,3,4,3,2,3,2,4,2,2,3,2,4,2,4,4,3,4,3,2,2,2,4,4,1,4,1,4,1,4,3,4
4153,1,16,2,1,US,5,2,3,4,2,5,1,5,2,2,4,5,4,4,4,2,4,4,4,5,1,5,5,1,5,1,4,1,5,3,1,2,5,3,4,2,5,5,5,5,5,4,3,5,4,5,1,5,5,3
4154,4,23,2,1,TT,1,3,5,2,5,2,5,2,5,5,2,3,5,1,4,1,5,5,3,3,4,5,2,3,3,3,3,3,5,1,5,1,4,4,3,5,4,4,3,3,3,5,1,3,1,5,1,5,2,3
4155,13,36,2,2,PR,3,3,3,1,3,3,3,3,3,3,3,4,2,3,5,3,5,3,3,3,2,5,4,3,2,3,4,1,4,5,1,3,4,3,4,1,3,1,1,2,4,5,1,5,2,4,1,5,5,5
4156,3,17,2,1,IT,5,3,4,1,1,1,3,1,4,1,2,3,1,5,2,3,1,5,3,4,1,5,4,2,5,2,5,2,5,5,5,4,1,5,2,5,4,5,4,4,2,2,3,3,1,3,3,4,2,5
4157,3,37,1,1,US,1,4,4,2,4,2,4,2,3,4,3,5,5,3,2,2,5,2,1,1,2,3,1,3,3,5,2,5,4,2,3,3,4,3,2,4,3,3,2,3,4,5,2,5,2,3,1,4,4,4
4158,11,24,2,1,PH,3,2,5,5,4,3,3,3,4,4,3,3,5,3,5,2,5,5,5,5,2,5,3,2,4,1,4,1,1,3,5,5,2,5,5,5,5,5,5,5,1,4,5,5,4,4,1,2,5,1
4159,3,24,2,1,US,4,4,4,1,4,1,4,2,4,5,4,4,4,4,2,3,2,4,2,4,2,4,2,3,3,2,1,2,4,2,3,3,4,4,2,2,2,4,2,2,5,5,1,5,1,5,1,5,5,5
4160,11,15,1,1,PH,4,2,4,3,3,3,4,3,3,4,4,3,5,3,4,2,4,4,4,2,2,4,4,4,3,2,2,1,2,4,4,4,4,5,4,4,2,3,2,2,3,4,2,4,2,4,1,4,4,2
4161,13,15,1,1,US,2,3,2,2,4,2,4,2,3,3,1,2,2,4,2,1,3,1,4,1,3,3,3,3,3,3,3,3,3,3,4,5,3,5,1,3,3,2,2,3,5,3,2,4,3,3,2,5,4,4
4162,4,49,2,1,IM,1,4,5,2,4,1,4,1,2,5,4,5,2,4,4,4,2,4,2,4,2,4,3,4,2,4,2,3,2,4,2,2,4,4,4,2,2,4,1,2,5,5,2,5,1,5,1,4,5,5
4163,1,35,2,1,TT,1,3,3,4,2,2,5,2,3,2,2,3,4,5,2,4,5,5,2,2,2,4,2,2,5,3,3,1,3,4,1,4,2,4,3,4,5,5,5,4,3,2,5,2,1,3,4,4,2,2
4164,3,40,2,1,US,1,4,4,1,4,2,4,2,4,4,4,4,2,3,2,4,2,4,1,4,1,4,4,2,4,2,3,2,4,2,4,4,2,4,2,4,4,4,4,4,3,4,3,5,2,4,1,4,3,4
4165,4,23,2,1,IN,5,5,3,2,5,2,4,2,4,4,4,3,5,3,2,1,5,2,4,2,2,5,4,3,2,5,2,1,4,5,4,3,2,5,2,4,3,3,4,4,1,4,3,3,4,5,4,4,2,4
4166,5,21,2,1,NA,1,1,2,3,5,3,5,2,4,5,3,4,1,5,1,1,3,5,4,1,1,2,1,5,3,5,1,1,5,2,5,5,1,5,1,5,5,5,5,5,5,5,1,5,1,3,1,5,5,5
4167,4,19,1,1,IN,1,1,5,5,5,5,5,5,1,5,1,1,5,1,1,5,5,1,5,1,5,5,1,1,1,5,5,5,4,1,1,1,5,1,5,5,5,4,5,5,1,1,5,5,5,3,1,4,5,5
4168,4,31,2,1,IN,1,5,5,1,5,1,5,5,5,4,3,5,1,5,3,1,2,5,3,5,3,5,5,4,2,3,1,1,5,1,1,4,2,3,1,5,1,1,3,3,4,3,5,3,1,2,1,2,1,5
4169,3,21,2,1,GB,1,5,5,2,5,1,5,1,4,5,4,5,5,2,5,1,5,5,4,5,1,3,4,5,5,5,2,5,2,5,3,5,5,5,1,5,4,5,5,4,3,5,1,3,2,4,2,5,2,5
4170,11,28,1,1,IN,3,2,2,2,3,3,3,3,2,3,4,3,3,4,2,1,2,3,4,3,1,4,5,2,4,2,4,1,3,5,5,3,3,4,3,4,5,5,5,5,2,2,4,3,4,3,4,3,2,3
4171,6,15,2,1,US,1,3,3,1,3,4,5,5,4,1,3,5,5,5,5,5,3,5,2,1,1,5,5,1,5,1,5,1,5,1,2,1,5,5,5,1,1,5,1,4,1,1,2,3,5,2,5,5,1,1
4172,3,16,2,1,US,2,5,5,1,4,2,2,1,4,2,4,3,2,3,2,4,2,3,1,1,4,1,1,5,1,5,1,3,2,5,2,1,4,2,4,5,2,2,2,2,5,5,1,5,1,5,1,5,3,3
4173,13,16,1,2,US,1,3,3,4,5,1,5,5,4,4,2,4,3,4,4,1,5,4,2,4,1,5,5,3,5,1,5,1,4,4,5,3,2,5,2,3,4,4,5,5,5,2,4,3,3,3,5,5,4,3
4174,3,13,2,1,US,1,4,4,4,4,2,4,2,5,4,3,4,4,5,5,1,4,3,3,4,4,3,1,4,2,4,2,4,2,4,4,2,3,5,3,3,2,3,3,3,5,5,2,4,3,4,2,4,5,5
4175,5,21,1,1,PK,3,3,1,2,3,3,5,3,5,5,3,1,2,2,3,3,5,1,1,1,2,1,1,2,3,4,4,3,1,4,2,1,1,4,3,5,5,5,5,5,2,3,2,4,3,4,1,5,1,5
4176,3,18,2,2,US,3,3,5,3,4,3,5,3,4,5,3,3,5,4,3,2,4,3,4,1,5,1,2,4,1,5,2,5,3,4,4,3,3,4,3,5,4,4,4,4,4,5,1,4,1,5,1,4,4,4
4177,3,14,2,2,GB,5,2,1,5,1,5,1,5,1,1,5,4,4,5,4,1,5,1,5,5,5,1,1,5,1,5,1,5,1,5,5,1,2,2,5,5,4,5,5,5,5,5,5,5,5,5,1,5,5,3
4178,3,33,1,2,CL,2,2,5,4,4,2,4,2,4,4,4,4,1,4,2,4,1,5,3,5,4,4,4,4,2,4,4,4,2,4,5,4,2,5,1,4,2,4,4,5,4,5,2,4,1,4,1,2,4,5
4179,3,18,2,1,SE,4,3,5,1,5,1,5,2,5,5,3,4,3,4,2,3,2,4,3,3,3,2,1,5,4,5,2,4,4,5,2,3,5,2,3,2,4,4,4,4,2,5,3,5,3,5,1,5,2,2
4180,3,44,2,1,CA,2,3,4,3,4,2,5,2,4,4,4,4,4,4,3,4,2,4,2,4,1,5,5,3,4,2,4,2,5,2,4,2,3,4,4,3,3,3,2,4,4,4,2,3,2,4,2,4,2,5
4181,13,16,1,1,GB,1,5,5,2,5,1,4,1,4,4,4,4,2,4,1,3,2,4,2,4,3,2,4,4,2,4,1,4,5,5,4,2,4,4,5,2,2,3,1,3,4,4,2,3,1,4,3,5,4,4
4182,4,23,2,1,IN,2,3,3,1,4,4,5,4,4,4,4,4,4,5,1,3,3,4,1,1,1,5,5,3,4,1,5,1,4,2,2,2,4,5,2,4,4,4,3,1,4,4,4,5,2,4,1,4,2,5
4183,3,42,2,1,EU,1,5,5,1,5,1,3,1,5,4,4,3,5,4,3,1,5,3,3,2,3,3,3,5,3,3,2,3,3,3,1,1,5,2,4,3,1,1,1,2,4,5,1,5,1,4,1,5,3,4
4184,3,25,1,1,US,4,2,2,4,1,2,4,2,1,4,3,5,1,2,1,2,2,4,2,3,1,1,4,5,3,5,2,4,4,5,1,3,4,1,2,1,2,2,2,2,2,5,1,5,1,5,1,5,2,4
4185,8,15,2,1,CA,1,4,4,4,4,2,4,1,4,5,3,4,3,5,3,3,4,3,2,4,2,4,4,3,3,3,4,3,4,2,4,3,5,5,3,4,4,5,5,4,2,3,3,5,2,3,4,2,3,4
4186,11,24,2,1,US,4,2,3,2,3,3,4,2,2,4,2,4,2,4,2,4,3,1,2,2,1,5,5,3,3,2,5,2,2,3,5,5,2,5,4,3,5,3,2,5,1,3,2,4,2,2,2,5,1,4
4187,13,23,2,1,PH,3,4,5,2,5,2,4,1,5,5,1,2,5,1,5,2,5,1,3,1,2,5,2,3,3,3,2,3,3,3,2,5,4,4,4,3,3,3,3,1,1,3,2,4,1,3,2,4,1,5
4188,1,28,1,1,US,3,5,3,3,4,2,3,3,4,2,3,3,4,4,3,2,3,3,3,3,2,5,5,1,5,3,5,2,4,1,4,4,4,4,2,4,4,4,3,4,3,4,3,3,3,3,3,3,2,4
4189,13,17,2,1,US,4,5,2,2,2,4,1,3,4,4,2,3,4,4,3,2,4,3,3,2,2,4,2,2,2,3,4,1,2,4,3,1,2,4,2,2,3,4,2,2,1,5,3,5,1,4,1,4,2,2
4190,12,26,2,1,GB,1,5,5,1,5,1,3,1,5,5,3,4,2,5,1,4,2,3,1,1,5,1,1,5,1,5,1,5,1,5,1,1,5,3,4,2,1,1,1,2,3,5,1,5,1,5,1,3,1,5
4191,13,16,2,1,ZA,2,1,1,3,2,5,3,5,2,3,3,4,3,1,3,2,5,3,3,4,1,5,5,1,5,1,5,1,3,2,5,5,2,4,1,4,4,3,3,5,4,3,4,5,2,3,1,4,3,3
4192,3,69,2,3,US,1,4,5,1,5,1,4,1,5,5,3,3,1,3,2,2,2,4,2,2,3,4,3,2,4,3,3,4,5,1,5,4,1,5,1,4,4,3,4,4,3,5,3,3,2,5,3,3,3,5
4193,3,36,1,2,SE,4,4,4,3,2,4,2,4,3,3,5,4,1,5,2,3,2,5,2,4,4,1,2,4,1,5,2,5,2,5,2,3,4,4,3,3,2,4,2,4,5,4,1,4,2,4,2,5,5,4
4194,6,18,1,2,US,2,3,5,1,2,1,5,1,3,5,5,4,1,1,1,2,1,4,1,2,1,5,3,4,1,2,1,1,1,5,3,2,5,3,2,1,3,4,3,4,5,5,4,5,1,5,1,2,5,5
4195,3,41,1,1,US,2,3,4,1,4,3,4,2,2,4,4,4,5,5,2,2,4,4,2,3,2,4,3,2,4,4,2,2,3,3,3,4,2,4,2,2,4,3,3,3,5,4,1,3,1,4,2,5,4,3
4196,3,28,1,1,AU,2,3,3,1,4,3,2,3,4,4,2,3,4,5,3,1,2,3,2,3,3,3,3,1,3,3,2,4,3,3,5,4,1,4,1,3,5,4,3,4,5,5,2,3,1,3,3,5,4,5
4197,3,65,2,1,US,1,2,4,1,5,1,5,1,4,4,3,3,5,3,5,1,5,4,1,1,2,5,2,3,4,4,4,3,4,2,5,5,3,4,1,3,4,5,4,3,4,1,4,2,2,1,5,3,2,4
4198,3,36,2,2,IT,2,4,4,2,4,2,4,3,4,4,4,1,1,2,3,4,2,2,3,3,3,5,2,2,4,4,3,4,5,4,3,2,3,4,2,2,4,5,3,4,5,4,1,4,1,4,2,5,4,5
4199,13,19,2,1,US,5,4,4,5,3,3,3,4,3,3,5,3,5,5,5,1,5,4,3,5,2,5,2,3,3,3,5,1,4,1,5,5,3,5,1,5,1,5,5,5,1,3,3,4,3,4,1,3,2,3
4200,3,15,2,2,US,2,2,5,3,5,2,3,2,5,4,4,3,3,4,4,2,2,4,2,4,2,4,3,4,2,4,2,2,3,4,5,5,1,5,1,4,5,5,5,5,5,5,4,5,2,5,2,4,5,5
4201,1,15,2,1,IL,2,3,5,1,3,2,3,3,3,3,2,4,5,4,2,3,4,4,1,2,4,4,2,5,2,3,2,2,1,5,3,1,3,4,3,4,4,3,2,4,3,5,2,5,1,5,1,5,3,5
4202,6,19,2,1,EU,1,5,4,1,5,1,4,1,5,5,4,3,2,5,4,2,1,5,2,1,4,5,3,2,4,3,1,1,2,2,5,3,3,5,3,4,4,3,1,2,5,5,3,4,3,4,2,4,4,5
4203,3,54,2,1,US,2,4,4,1,4,3,3,2,3,3,5,5,1,4,1,5,2,5,1,5,1,4,3,2,4,4,1,2,4,2,2,1,2,5,5,1,1,1,1,3,4,5,1,5,1,5,2,5,4,4
4204,3,46,2,1,GB,1,3,3,1,5,3,5,4,2,5,1,3,5,5,5,1,5,2,5,4,3,5,1,5,2,5,1,5,3,5,5,5,1,5,1,5,5,5,5,5,5,5,3,5,1,4,1,3,5,5
4205,3,23,1,2,US,1,4,5,2,5,2,5,2,4,3,4,3,3,4,4,3,3,5,3,5,2,5,5,3,5,4,4,2,5,5,3,4,2,4,2,2,3,2,1,3,4,5,1,5,2,4,1,5,3,3
4206,8,32,2,1,US,4,2,5,1,3,2,2,2,2,3,3,3,2,4,2,4,3,4,3,3,2,3,4,4,3,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,5,4,1,3,2,4,1,5,3,3
4207,3,21,2,2,US,1,5,5,1,4,2,5,1,5,4,2,4,3,4,2,1,2,4,3,2,1,5,1,4,5,2,4,2,5,4,4,1,4,4,3,2,3,2,2,5,4,4,4,5,3,4,1,4,3,5
4208,3,15,1,1,FR,2,2,4,2,4,1,2,2,3,4,4,4,3,3,3,4,4,2,3,1,2,2,4,3,3,4,2,3,2,3,2,2,4,2,3,2,1,2,2,1,4,4,1,4,1,4,2,5,3,4
4209,1,43,2,3,US,1,5,5,1,4,1,3,3,4,5,1,4,2,5,1,2,2,3,1,1,4,1,3,1,4,5,3,5,5,1,1,5,3,4,1,1,1,4,5,1,3,4,1,4,1,4,1,4,1,4
4210,3,16,2,1,US,3,2,5,4,4,4,4,1,4,4,2,4,5,4,5,4,5,4,4,4,1,3,5,2,4,4,5,2,4,2,5,5,5,4,1,2,5,5,5,5,5,5,4,5,1,5,1,5,5,5
4211,3,44,2,1,AU,1,5,5,1,5,1,5,1,5,5,5,5,3,4,2,3,2,3,1,4,3,1,1,4,4,5,1,5,4,3,3,1,3,3,2,3,2,1,1,1,4,5,2,5,2,4,1,4,5,5
4212,3,50,1,2,US,1,4,5,3,5,1,5,1,2,4,1,2,2,3,2,1,4,2,2,3,4,4,2,4,4,5,1,4,4,2,5,3,1,5,2,3,2,3,2,4,4,3,1,5,1,4,1,3,2,2
4213,0,19,1,1,US,1,3,1,1,3,3,5,4,3,3,5,5,1,5,1,5,1,5,1,5,1,5,5,2,5,1,5,1,3,3,4,5,2,5,1,3,3,5,2,3,1,2,4,5,2,2,5,2,1,5
4214,3,18,2,1,US,2,4,4,2,4,2,4,3,5,4,2,3,2,4,2,4,4,5,2,4,2,4,2,2,3,3,3,1,5,2,5,4,2,5,2,4,4,5,4,5,4,4,3,5,3,4,2,4,4,5
4215,3,38,1,1,GB,3,5,4,5,3,2,3,1,4,4,2,2,2,3,2,2,2,3,2,2,5,1,1,4,2,5,1,5,1,5,3,4,2,3,2,5,2,5,4,5,5,5,1,5,1,5,1,5,5,4
4216,3,31,2,1,AU,1,4,5,1,5,1,4,1,4,5,4,4,5,5,1,1,4,4,1,3,3,5,4,4,4,4,3,1,4,4,4,4,4,4,2,3,5,4,1,3,4,3,2,5,1,4,1,4,2,5
4217,3,19,2,1,US,1,4,5,1,4,4,4,1,5,3,3,4,5,3,4,4,4,3,2,3,3,1,3,5,3,5,3,5,5,1,5,3,3,5,1,3,5,3,2,2,5,4,1,1,1,3,1,5,2,3
4218,3,25,1,2,US,4,4,2,4,1,5,3,5,1,1,2,4,2,5,2,2,2,4,2,4,2,5,4,2,4,2,4,2,4,4,5,5,1,5,2,4,4,4,5,5,5,5,2,4,4,4,2,4,5,4
4219,11,23,2,1,PH,2,4,4,1,5,2,5,3,4,4,2,3,2,3,3,3,4,4,3,3,2,4,3,3,3,3,3,2,2,4,5,4,3,4,2,4,2,3,2,3,4,3,3,4,3,4,2,2,3,4
4220,0,24,1,1,US,1,4,5,1,5,1,4,1,4,5,4,4,2,4,1,4,2,5,1,4,3,2,2,4,2,4,2,4,4,3,4,2,4,4,4,1,2,1,1,2,4,5,2,4,1,4,2,4,4,4
4221,11,17,2,1,PH,2,4,4,4,5,2,4,2,4,4,3,4,5,4,4,1,4,4,2,4,3,3,2,4,3,4,2,3,3,2,4,4,3,5,4,5,3,4,4,4,1,3,4,3,2,3,3,4,2,4
4222,3,20,2,1,US,1,5,5,1,5,1,4,1,5,5,4,5,3,4,1,4,1,5,1,5,2,4,4,4,4,5,3,5,4,3,5,4,4,5,1,1,1,2,2,2,4,4,1,5,1,4,1,5,4,4
4223,3,19,1,1,NL,4,4,3,4,4,3,2,2,3,4,2,3,2,3,4,2,1,3,3,1,1,5,5,3,5,2,4,2,4,2,5,4,2,5,1,4,4,5,5,5,3,2,1,5,2,2,2,4,4,4
4224,3,18,2,1,US,1,2,5,3,4,1,5,1,5,4,1,4,4,3,4,1,5,3,4,5,1,4,1,2,2,4,1,2,2,4,5,4,2,5,1,5,5,5,5,5,3,3,3,4,2,4,3,3,4,2
4225,11,20,2,1,CA,1,5,5,2,5,1,3,1,5,5,2,4,3,4,1,3,2,4,2,5,4,2,1,5,1,5,1,5,1,4,4,2,3,4,2,2,2,4,3,3,2,4,3,5,2,4,2,4,2,5
4226,3,15,1,1,US,1,3,4,2,5,2,5,2,4,5,3,1,3,3,2,2,3,1,3,1,1,5,5,2,3,1,4,1,5,1,5,5,2,4,1,3,4,4,2,3,5,5,1,5,1,4,1,4,5,5
4227,4,22,2,1,US,2,3,4,4,4,3,3,2,4,4,4,3,1,4,3,3,2,4,3,3,3,4,2,3,3,4,3,4,3,3,4,3,3,4,2,3,4,4,3,4,3,3,3,3,3,4,2,5,2,4
4228,6,54,2,1,US,1,3,2,1,5,1,5,2,5,5,3,2,1,3,3,5,1,5,3,2,1,5,4,1,4,2,3,2,1,1,5,5,1,5,1,5,5,5,5,5,2,3,4,3,3,4,3,3,2,4
4229,3,71,2,2,US,1,4,4,3,4,2,5,2,4,3,4,4,1,3,2,4,2,4,2,4,2,3,2,3,3,4,3,3,4,1,4,2,2,5,1,3,3,3,3,3,3,2,4,3,3,2,3,3,2,4
4230,3,57,2,1,US,2,4,2,1,3,2,4,2,3,5,4,4,3,3,2,3,4,3,1,2,1,5,3,2,4,3,2,1,1,1,3,5,2,4,2,2,5,2,4,4,3,5,2,4,3,4,1,4,2,4
4231,1,24,2,2,BR,1,2,5,1,5,1,5,1,3,4,2,4,3,5,3,4,1,4,1,5,2,5,4,2,3,3,3,2,4,1,4,4,2,5,1,4,4,4,4,3,3,2,4,3,1,2,4,4,3,5
